#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABRACL	TMX1	9606.ENSP00000356632	9606.ENSP00000393316	0	0	0	0	0.133	0	0	0.358	0.419
ALDOA	P4HB	9606.ENSP00000378669	9606.ENSP00000327801	0	0	0	0	0.181	0.103	0	0.390	0.513
ALDOA	WT1	9606.ENSP00000378669	9606.ENSP00000331327	0	0	0	0	0	0	0	0.431	0.431
ALDOA	IDH2	9606.ENSP00000378669	9606.ENSP00000331897	0	0	0	0	0.066	0	0	0.395	0.410
ALDOA	PRNP	9606.ENSP00000378669	9606.ENSP00000368752	0	0	0	0	0.062	0.400	0	0.042	0.414
ALDOA	SLC7A1	9606.ENSP00000378669	9606.ENSP00000370128	0	0	0	0	0	0	0	0.436	0.436
ALDOA	PDK1	9606.ENSP00000378669	9606.ENSP00000376352	0	0	0	0	0.082	0	0	0.505	0.526
ALDOA	YWHAZ	9606.ENSP00000378669	9606.ENSP00000379287	0	0	0	0	0.063	0.183	0	0.404	0.504
ALG10B	UGGT2	9606.ENSP00000310120	9606.ENSP00000365938	0	0	0	0	0.233	0	0	0.254	0.403
ALG10B	CCDC65	9606.ENSP00000310120	9606.ENSP00000312706	0	0	0	0	0	0	0	0.430	0.430
AMMECR1	ATP13A3	9606.ENSP00000262844	9606.ENSP00000416508	0.041	0	0	0	0.049	0	0	0.396	0.401
AMN1	TPX2	9606.ENSP00000281471	9606.ENSP00000300403	0	0	0	0	0	0	0	0.575	0.575
ANAPC4	HSPB11	9606.ENSP00000426654	9606.ENSP00000194214	0	0	0	0	0.111	0.604	0	0.537	0.822
ANAPC4	CCNA2	9606.ENSP00000426654	9606.ENSP00000274026	0	0	0	0	0.082	0.675	0.600	0.265	0.900
ANAPC4	RRM2	9606.ENSP00000426654	9606.ENSP00000353770	0	0	0	0	0.065	0.632	0	0	0.641
ANAPC4	NEK2	9606.ENSP00000426654	9606.ENSP00000355966	0	0	0	0	0.062	0.965	0.600	0.184	0.988
ANAPC4	TTK	9606.ENSP00000426654	9606.ENSP00000358813	0	0	0	0	0.190	0	0	0.346	0.447
ANAPC4	CDC20	9606.ENSP00000426654	9606.ENSP00000361540	0	0	0	0	0.062	0.983	0.800	0.557	0.998
ANAPC4	PTTG1	9606.ENSP00000426654	9606.ENSP00000377536	0	0	0	0	0.062	0	0.600	0.262	0.699
ANGPTL1	BAI2	9606.ENSP00000234816	9606.ENSP00000362759	0	0	0	0	0	0	0	0.419	0.419
ANLN	MYBL2	9606.ENSP00000265748	9606.ENSP00000217026	0	0	0	0	0.284	0	0	0.231	0.426
ANLN	NCAPH	9606.ENSP00000265748	9606.ENSP00000240423	0	0	0	0	0.627	0	0	0.194	0.686
ANLN	MND1	9606.ENSP00000265748	9606.ENSP00000240488	0	0	0	0	0.637	0	0	0.143	0.675
ANLN	DLGAP5	9606.ENSP00000265748	9606.ENSP00000247191	0	0	0	0	0.908	0	0	0.446	0.947
ANLN	NCAPG	9606.ENSP00000265748	9606.ENSP00000251496	0	0	0	0	0.820	0	0	0.266	0.862
ANLN	KIF11	9606.ENSP00000265748	9606.ENSP00000260731	0	0	0	0	0.943	0.070	0	0.493	0.970
ANLN	NDC80	9606.ENSP00000265748	9606.ENSP00000261597	0	0	0	0	0.811	0	0	0.193	0.841
ANLN	MCM4	9606.ENSP00000265748	9606.ENSP00000262105	0	0	0	0	0.608	0.270	0	0.095	0.718
ANLN	DEPDC1B	9606.ENSP00000265748	9606.ENSP00000265036	0	0	0	0	0.470	0	0	0	0.470
ANLN	CENPE	9606.ENSP00000265748	9606.ENSP00000265148	0	0	0	0	0.800	0.070	0	0.402	0.879
ANLN	NUMA1	9606.ENSP00000265748	9606.ENSP00000377298	0	0	0	0	0.047	0.270	0	0.210	0.402
ANLN	LYN	9606.ENSP00000265748	9606.ENSP00000428924	0	0	0	0	0.051	0.389	0	0.063	0.409
ANLN	MDC1	9606.ENSP00000265748	9606.ENSP00000365588	0	0	0	0	0.097	0.391	0	0.063	0.440
ANLN	MCM10	9606.ENSP00000265748	9606.ENSP00000418268	0	0	0	0	0.583	0	0	0.081	0.600
ANLN	CKAP2	9606.ENSP00000265748	9606.ENSP00000367276	0	0	0	0	0.553	0	0	0.158	0.608
ANLN	RAD54L	9606.ENSP00000265748	9606.ENSP00000361043	0	0	0	0	0.561	0	0	0.170	0.620
ANLN	CDCA2	9606.ENSP00000265748	9606.ENSP00000328228	0	0	0	0	0.568	0	0	0.345	0.705
ANLN	FAM83D	9606.ENSP00000265748	9606.ENSP00000481110	0	0	0	0	0.569	0	0	0.456	0.756
ANLN	PTTG1	9606.ENSP00000265748	9606.ENSP00000377536	0	0	0	0	0.680	0	0	0.294	0.764
ANLN	FOXM1	9606.ENSP00000265748	9606.ENSP00000342307	0	0	0	0	0.729	0	0	0.207	0.776
ANLN	DEPDC1	9606.ENSP00000265748	9606.ENSP00000412292	0	0	0	0	0.790	0	0	0.149	0.814
ANLN	HJURP	9606.ENSP00000265748	9606.ENSP00000414109	0	0	0	0	0.777	0	0	0.222	0.819
ANLN	EXO1	9606.ENSP00000265748	9606.ENSP00000355506	0	0	0	0	0.791	0	0	0.180	0.821
ANLN	SHCBP1	9606.ENSP00000265748	9606.ENSP00000306473	0	0	0	0	0.608	0.270	0	0.473	0.836
ANLN	NUF2	9606.ENSP00000265748	9606.ENSP00000271452	0	0	0	0	0.749	0	0	0.429	0.850
ANLN	KIF15	9606.ENSP00000265748	9606.ENSP00000324020	0	0	0	0	0.747	0.070	0	0.423	0.852
ANLN	RRM2	9606.ENSP00000265748	9606.ENSP00000353770	0	0	0	0	0.794	0	0	0.369	0.865
ANLN	NEK2	9606.ENSP00000265748	9606.ENSP00000355966	0	0	0	0	0.739	0.270	0	0.359	0.867
ANLN	TTK	9606.ENSP00000265748	9606.ENSP00000358813	0	0	0	0	0.833	0	0	0.245	0.868
ANLN	CDC20	9606.ENSP00000265748	9606.ENSP00000361540	0	0	0	0	0.789	0	0	0.405	0.869
ANLN	CDCA8	9606.ENSP00000265748	9606.ENSP00000362146	0	0	0	0	0.778	0.270	0	0.337	0.883
ANLN	CCNA2	9606.ENSP00000265748	9606.ENSP00000274026	0	0	0	0	0.833	0	0	0.345	0.886
ANLN	MELK	9606.ENSP00000265748	9606.ENSP00000298048	0	0	0	0	0.829	0	0	0.379	0.890
ANLN	HMMR	9606.ENSP00000265748	9606.ENSP00000377492	0	0	0	0	0.843	0	0	0.408	0.903
ANLN	PBK	9606.ENSP00000265748	9606.ENSP00000428489	0	0	0	0	0.865	0.062	0	0.345	0.910
ANLN	TPX2	9606.ENSP00000265748	9606.ENSP00000300403	0	0	0	0	0.839	0	0	0.482	0.913
ANLN	KIF14	9606.ENSP00000265748	9606.ENSP00000356319	0	0	0	0	0.760	0.292	0	0.581	0.922
ANLN	CENPF	9606.ENSP00000265748	9606.ENSP00000355922	0	0	0	0	0.805	0.270	0	0.512	0.924
ANLN	TOP2A	9606.ENSP00000265748	9606.ENSP00000411532	0	0	0	0	0.834	0.270	0	0.469	0.930
ANLN	ASPM	9606.ENSP00000265748	9606.ENSP00000356379	0	0	0	0	0.866	0.296	0	0.428	0.941
ANLN	CEP55	9606.ENSP00000265748	9606.ENSP00000360540	0	0	0	0	0.832	0.270	0	0.566	0.942
ANLN	KIF20A	9606.ENSP00000265748	9606.ENSP00000378356	0	0	0	0	0.855	0.351	0	0.647	0.964
ANO4	KANK4	9606.ENSP00000376703	9606.ENSP00000360195	0	0	0	0	0	0	0	0.421	0.421
ANO4	GAS2L3	9606.ENSP00000376703	9606.ENSP00000448955	0	0	0	0	0	0	0	0.504	0.504
ANTXR2	LRFN5	9606.ENSP00000306185	9606.ENSP00000298119	0	0	0	0	0	0	0	0.517	0.517
ANTXR2	DHFR	9606.ENSP00000306185	9606.ENSP00000396308	0	0	0	0	0.065	0	0	0.456	0.470
AP1AR	NUDT6	9606.ENSP00000274000	9606.ENSP00000306070	0	0	0	0	0	0	0	0.426	0.426
ARHGAP26	SH3YL1	9606.ENSP00000274498	9606.ENSP00000348471	0	0	0	0	0	0	0	0.427	0.427
ARID4A	HIST1H4F	9606.ENSP00000347602	9606.ENSP00000244537	0	0	0	0	0.051	0.432	0	0.480	0.695
ARID4A	METTL3	9606.ENSP00000347602	9606.ENSP00000298717	0	0	0	0	0.062	0	0	0.565	0.574
ARMCX4	TMEM132B	9606.ENSP00000404304	9606.ENSP00000299308	0	0	0	0	0.062	0	0	0.414	0.427
ARMCX4	TCEAL2	9606.ENSP00000404304	9606.ENSP00000361866	0	0	0	0	0.076	0	0	0.523	0.541
ARMCX4	DBNDD1	9606.ENSP00000404304	9606.ENSP00000457625	0	0	0	0	0.062	0	0	0.423	0.436
ARSJ	NCAPG	9606.ENSP00000320219	9606.ENSP00000251496	0	0	0	0	0	0	0	0.407	0.407
ARSJ	SULF1	9606.ENSP00000320219	9606.ENSP00000260128	0	0	0.424	0.554	0.089	0.103	0	0.415	0.422
ARSJ	LCAT	9606.ENSP00000320219	9606.ENSP00000264005	0	0	0	0	0	0.145	0	0.448	0.508
ARSJ	NDST2	9606.ENSP00000320219	9606.ENSP00000310657	0	0	0	0	0.054	0.074	0	0.608	0.626
ARSJ	FLRT2	9606.ENSP00000320219	9606.ENSP00000332879	0	0	0	0	0	0	0	0.417	0.417
ASNS	SLC7A1	9606.ENSP00000175506	9606.ENSP00000370128	0	0	0	0	0.147	0	0	0.408	0.474
ASNS	P4HB	9606.ENSP00000175506	9606.ENSP00000327801	0.044	0	0	0	0.052	0.212	0	0.382	0.499
ASNS	MAT2A	9606.ENSP00000175506	9606.ENSP00000303147	0.151	0	0	0	0.066	0.272	0	0.237	0.501
ASNS	LGSN	9606.ENSP00000175506	9606.ENSP00000359691	0.167	0	0	0	0.097	0	0	0.445	0.546
ASNS	FGD6	9606.ENSP00000175506	9606.ENSP00000344446	0	0	0	0	0	0	0	0.649	0.649
ASNS	EIF2S3	9606.ENSP00000175506	9606.ENSP00000253039	0	0	0	0	0.084	0	0.650	0.049	0.668
ASNS	CARS	9606.ENSP00000175506	9606.ENSP00000369897	0	0	0	0	0.133	0	0	0.695	0.725
ASNS	CEBPG	9606.ENSP00000175506	9606.ENSP00000284000	0	0	0	0	0.093	0	0.900	0.245	0.925
ASPM	MYBL2	9606.ENSP00000356379	9606.ENSP00000217026	0	0	0	0	0.524	0	0	0.151	0.579
ASPM	NCAPH	9606.ENSP00000356379	9606.ENSP00000240423	0	0	0	0	0.919	0.669	0	0.275	0.978
ASPM	MND1	9606.ENSP00000356379	9606.ENSP00000240488	0	0	0	0	0.808	0.111	0	0	0.822
ASPM	DLGAP5	9606.ENSP00000356379	9606.ENSP00000247191	0	0	0	0	0.982	0	0	0.558	0.992
ASPM	NCAPG	9606.ENSP00000356379	9606.ENSP00000251496	0	0	0	0	0.991	0	0	0.528	0.995
ASPM	KIF11	9606.ENSP00000356379	9606.ENSP00000260731	0	0	0	0	0.989	0.243	0	0.654	0.996
ASPM	NDC80	9606.ENSP00000356379	9606.ENSP00000261597	0	0	0	0	0.980	0	0	0.194	0.983
ASPM	TUBGCP3	9606.ENSP00000356379	9606.ENSP00000261965	0	0	0	0	0.214	0.270	0	0.193	0.496
ASPM	MCM4	9606.ENSP00000356379	9606.ENSP00000262105	0	0	0	0	0.790	0.059	0	0.235	0.836
ASPM	DEPDC1B	9606.ENSP00000356379	9606.ENSP00000265036	0	0	0	0	0.607	0	0	0.111	0.636
ASPM	CENPE	9606.ENSP00000356379	9606.ENSP00000265148	0	0	0	0	0.985	0.243	0	0.546	0.994
ASPM	NUF2	9606.ENSP00000356379	9606.ENSP00000271452	0	0	0	0	0.894	0	0	0.455	0.940
ASPM	CCNA2	9606.ENSP00000356379	9606.ENSP00000274026	0	0	0	0	0.976	0.057	0	0.544	0.988
ASPM	SPC25	9606.ENSP00000356379	9606.ENSP00000282074	0	0	0	0	0.621	0	0	0.293	0.720
ASPM	MELK	9606.ENSP00000356379	9606.ENSP00000298048	0	0	0	0	0.924	0.075	0	0.450	0.958
ASPM	TPX2	9606.ENSP00000356379	9606.ENSP00000300403	0	0	0	0	0.966	0	0	0.458	0.981
ASPM	SHCBP1	9606.ENSP00000356379	9606.ENSP00000306473	0	0	0	0	0.832	0	0	0.103	0.843
ASPM	KIF15	9606.ENSP00000356379	9606.ENSP00000324020	0	0	0	0	0.933	0.243	0	0.650	0.980
ASPM	CDCA2	9606.ENSP00000356379	9606.ENSP00000328228	0	0	0	0	0.775	0	0	0.294	0.834
ASPM	EXOC7	9606.ENSP00000356379	9606.ENSP00000334100	0	0	0	0	0.062	0.240	0	0.257	0.424
ASPM	FOXM1	9606.ENSP00000356379	9606.ENSP00000342307	0	0	0	0	0.869	0	0	0.346	0.911
ASPM	RRM2	9606.ENSP00000356379	9606.ENSP00000353770	0	0	0	0	0.912	0.070	0	0.459	0.951
ASPM	EXO1	9606.ENSP00000356379	9606.ENSP00000355506	0	0	0	0	0.918	0.077	0	0.217	0.936
ASPM	CENPF	9606.ENSP00000356379	9606.ENSP00000355922	0	0	0	0	0.962	0	0	0.629	0.985
ASPM	NEK2	9606.ENSP00000356379	9606.ENSP00000355966	0	0	0	0	0.911	0.058	0	0.465	0.951
ASPM	KIF14	9606.ENSP00000356379	9606.ENSP00000356319	0	0	0	0	0.915	0.423	0	0.594	0.978
ASPM	DHFR	9606.ENSP00000356379	9606.ENSP00000396308	0	0	0	0	0.351	0	0	0.120	0.405
ASPM	GPSM2	9606.ENSP00000356379	9606.ENSP00000385510	0	0	0	0	0.285	0	0	0.258	0.447
ASPM	SPC24	9606.ENSP00000356379	9606.ENSP00000465075	0	0	0	0	0.334	0.230	0	0	0.465
ASPM	MTFR2	9606.ENSP00000356379	9606.ENSP00000395232	0	0	0	0	0.547	0	0	0.134	0.591
ASPM	NUMA1	9606.ENSP00000356379	9606.ENSP00000377298	0	0	0	0	0.064	0.128	0	0.674	0.710
ASPM	FAM83D	9606.ENSP00000356379	9606.ENSP00000481110	0	0	0	0	0.686	0	0	0.229	0.748
ASPM	RAD54L	9606.ENSP00000356379	9606.ENSP00000361043	0	0	0	0	0.700	0.056	0	0.306	0.786
ASPM	MCM10	9606.ENSP00000356379	9606.ENSP00000418268	0	0	0	0	0.800	0	0	0.260	0.846
ASPM	E2F8	9606.ENSP00000356379	9606.ENSP00000481103	0	0	0	0	0.863	0	0	0.102	0.872
ASPM	UHRF1	9606.ENSP00000356379	9606.ENSP00000479617	0	0	0	0	0.861	0	0	0.162	0.879
ASPM	PTTG1	9606.ENSP00000356379	9606.ENSP00000377536	0	0	0	0	0.844	0	0	0.389	0.900
ASPM	DEPDC1	9606.ENSP00000356379	9606.ENSP00000412292	0	0	0	0	0.900	0	0	0.267	0.924
ASPM	HJURP	9606.ENSP00000356379	9606.ENSP00000414109	0	0	0	0	0.893	0	0	0.334	0.925
ASPM	CKAP2	9606.ENSP00000356379	9606.ENSP00000367276	0	0	0	0	0.944	0	0	0.131	0.949
ASPM	PBK	9606.ENSP00000356379	9606.ENSP00000428489	0	0	0	0	0.925	0.075	0	0.422	0.956
ASPM	HMMR	9606.ENSP00000356379	9606.ENSP00000377492	0	0	0	0	0.931	0	0	0.415	0.958
ASPM	CEP55	9606.ENSP00000356379	9606.ENSP00000360540	0	0	0	0	0.935	0	0	0.556	0.969
ASPM	KIF20A	9606.ENSP00000356379	9606.ENSP00000378356	0	0	0	0	0.915	0.252	0	0.591	0.971
ASPM	CDCA8	9606.ENSP00000356379	9606.ENSP00000362146	0	0	0	0	0.965	0	0	0.392	0.978
ASPM	CDC20	9606.ENSP00000356379	9606.ENSP00000361540	0	0	0	0	0.969	0.250	0	0.468	0.986
ASPM	TOP2A	9606.ENSP00000356379	9606.ENSP00000411532	0	0	0	0	0.968	0	0	0.605	0.987
ASPM	TTK	9606.ENSP00000356379	9606.ENSP00000358813	0	0	0	0	0.986	0.060	0	0.503	0.993
ASTN1	NR3C2	9606.ENSP00000354536	9606.ENSP00000350815	0	0	0	0	0	0	0	0.460	0.459
ASTN1	NHP2L1	9606.ENSP00000354536	9606.ENSP00000383949	0	0	0	0	0	0	0	0.409	0.408
ASTN1	NAP1L2	9606.ENSP00000354536	9606.ENSP00000362616	0	0	0	0	0.224	0	0	0.294	0.428
ATF2	MAPK1	9606.ENSP00000264110	9606.ENSP00000215832	0	0	0	0	0.062	0.786	0.900	0.536	0.989
ATF2	FOXA1	9606.ENSP00000264110	9606.ENSP00000250448	0	0	0	0	0	0.057	0.600	0.099	0.630
ATF2	VDAC1	9606.ENSP00000264110	9606.ENSP00000265333	0	0	0	0	0	0.106	0	0.397	0.438
ATF2	CEBPG	9606.ENSP00000264110	9606.ENSP00000284000	0	0	0	0	0	0.693	0	0.084	0.707
ATF2	FOS	9606.ENSP00000264110	9606.ENSP00000306245	0	0	0	0.568	0	0.894	0.600	0.702	0.969
ATP13A3	ZNF662	9606.ENSP00000416508	9606.ENSP00000329264	0	0	0	0	0.050	0.056	0	0.482	0.495
ATP13A3	GLT8D2	9606.ENSP00000416508	9606.ENSP00000354053	0	0	0	0	0	0	0	0.429	0.429
AZGP1	LTF	9606.ENSP00000292401	9606.ENSP00000231751	0	0	0	0	0.086	0	0	0.468	0.493
AZGP1	IL6ST	9606.ENSP00000292401	9606.ENSP00000370698	0	0	0	0	0	0	0	0.401	0.400
AZGP1	B2M	9606.ENSP00000292401	9606.ENSP00000452780	0	0	0	0	0	0	0	0.457	0.457
AZGP1	HP	9606.ENSP00000292401	9606.ENSP00000348170	0	0	0	0	0.108	0	0	0.609	0.636
B2M	LTF	9606.ENSP00000452780	9606.ENSP00000231751	0	0	0	0	0.086	0	0.500	0.309	0.656
B2M	CBL	9606.ENSP00000452780	9606.ENSP00000264033	0	0	0	0	0	0	0.900	0.061	0.902
B2M	CXCL10	9606.ENSP00000452780	9606.ENSP00000305651	0	0	0	0	0.146	0	0	0.460	0.519
B2M	CYBRD1	9606.ENSP00000452780	9606.ENSP00000319141	0	0	0	0	0.069	0	0	0.431	0.447
B2M	HP	9606.ENSP00000452780	9606.ENSP00000348170	0	0	0	0	0.062	0	0	0.583	0.592
B2M	CXCL9	9606.ENSP00000452780	9606.ENSP00000354901	0	0	0	0	0.117	0	0	0.370	0.420
B2M	MMP9	9606.ENSP00000452780	9606.ENSP00000361405	0	0	0	0	0.069	0	0	0.391	0.408
B2M	LCN2	9606.ENSP00000452780	9606.ENSP00000362108	0	0	0	0	0.072	0	0	0.610	0.622
B2M	SDC1	9606.ENSP00000452780	9606.ENSP00000370542	0	0	0	0	0	0	0	0.518	0.518
B2M	SPP1	9606.ENSP00000452780	9606.ENSP00000378517	0	0	0	0	0	0	0	0.469	0.469
B2M	YWHAZ	9606.ENSP00000452780	9606.ENSP00000379287	0	0	0	0	0.055	0	0	0.667	0.672
B2M	MME	9606.ENSP00000452780	9606.ENSP00000418525	0	0	0	0	0	0	0	0.425	0.424
B2M	TFF3	9606.ENSP00000452780	9606.ENSP00000430690	0	0	0	0	0.062	0	0	0.470	0.481
BCHE	CYP24A1	9606.ENSP00000264381	9606.ENSP00000216862	0	0	0	0	0	0.060	0	0.457	0.467
BCHE	LTF	9606.ENSP00000264381	9606.ENSP00000231751	0	0.002	0	0	0.048	0	0	0.397	0.401
BCHE	HP	9606.ENSP00000264381	9606.ENSP00000348170	0	0	0	0	0.062	0.056	0	0.391	0.413
BCHE	IDE	9606.ENSP00000264381	9606.ENSP00000265986	0	0	0	0	0	0	0	0.446	0.446
BCHE	RAPH1	9606.ENSP00000264381	9606.ENSP00000316543	0	0	0	0	0.049	0	0	0.670	0.673
BEX1	PCDH10	9606.ENSP00000361813	9606.ENSP00000264360	0	0	0	0	0.108	0.057	0	0.448	0.496
BEX1	NAP1L3	9606.ENSP00000361813	9606.ENSP00000362171	0	0	0	0	0.268	0	0	0.228	0.411
BEX1	TCEAL2	9606.ENSP00000361813	9606.ENSP00000361866	0	0	0	0	0.312	0	0	0.322	0.514
BEX1	BEX2	9606.ENSP00000361813	9606.ENSP00000442521	0	0	0	0.981	0.674	0	0	0.261	0.675
BEX2	TCEAL2	9606.ENSP00000442521	9606.ENSP00000361866	0	0	0	0	0.226	0	0	0.323	0.454
BEX2	OSR2	9606.ENSP00000442521	9606.ENSP00000414657	0	0	0	0	0	0	0	0.428	0.428
C14orf28	GRIP1	9606.ENSP00000326846	9606.ENSP00000381098	0	0	0	0	0	0	0	0.411	0.411
C3orf38	RBP7	9606.ENSP00000322469	9606.ENSP00000294435	0	0	0	0	0	0	0	0.415	0.415
C3orf38	DNAJB4	9606.ENSP00000322469	9606.ENSP00000359799	0	0	0	0	0	0.438	0	0	0.438
C8orf46	SLC6A2	9606.ENSP00000302260	9606.ENSP00000219833	0	0	0	0	0	0	0	0.515	0.515
CA2	CYP24A1	9606.ENSP00000285379	9606.ENSP00000216862	0	0	0	0	0	0	0	0.807	0.807
CA2	ESD	9606.ENSP00000285379	9606.ENSP00000367992	0	0	0	0	0	0	0	0.409	0.409
CA2	MMP9	9606.ENSP00000285379	9606.ENSP00000361405	0	0	0	0	0	0	0	0.469	0.469
CA2	CA3	9606.ENSP00000285379	9606.ENSP00000285381	0	0	0.449	0.960	0.089	0	0.600	0.918	0.640
CA3	CYP24A1	9606.ENSP00000285381	9606.ENSP00000216862	0	0	0	0	0	0	0	0.823	0.823
CARS	EIF2S3	9606.ENSP00000369897	9606.ENSP00000253039	0	0	0	0	0.287	0	0	0.257	0.448
CARS	EIF5B	9606.ENSP00000369897	9606.ENSP00000289371	0.158	0	0	0	0.115	0	0	0.543	0.630
CARS	GSPT2	9606.ENSP00000369897	9606.ENSP00000341247	0	0	0	0	0.269	0.258	0	0.303	0.588
CARS	RPL27A	9606.ENSP00000369897	9606.ENSP00000346015	0.054	0	0	0	0.663	0.602	0	0.206	0.885
CARS	WARS	9606.ENSP00000369897	9606.ENSP00000347495	0.133	0	0	0	0.497	0	0	0.517	0.771
CARS	EXO1	9606.ENSP00000369897	9606.ENSP00000355506	0.320	0	0	0	0.049	0	0	0.180	0.423
CARS	RPL5	9606.ENSP00000369897	9606.ENSP00000359345	0.070	0	0	0	0.735	0.376	0	0.192	0.859
CARS	COL4A1	9606.ENSP00000369897	9606.ENSP00000364979	0	0	0	0	0	0	0	0.431	0.431
